011000015,"FEDERAL RESERVE BANK;1000 PEACHTREE ST N.E.;ATLANTA, GA 30309-4470"
011275303,"GORHAM SAVINGS BANK;10 WENTWORTH DR;GORHAM, ME 04038-0000"
011300142,"COMMERCE BANK & TRUST CO;386 MAIN ST;WORCESTER, MA 01615-0000"
011300595,"CAMBRIDGE TRUST COMPANY;10 FAWCETT ST.;CAMBRIDGE, MA 02138-3809"
011300605,"BANK OF AMERICA N.A.;PO BOX 27025;RICHMOND, VA 23261-7025"
011301073,"RBS CITIZENS, NATIONAL ASSOCIATION;1 CITIZENS DRIVE;RIVERSIDE, RI 02915-0000"
011301390,"CENTURY BANK & TRUST CO;400 MYSTIC AVE;MEDFORD, MA 02155-0000"
011301536,"EASTERN BANK;195 MARKET STREET;LYNN, MA 01901-0000"
011301604,"EASTERN BANK;195 MARKET STREET;LYNN, MA 01901-0000"
011301646,"BANK OF AMERICA N.A.;PO BOX 27025;RICHMOND, VA 23261-7025"
011301798,"EASTERN BANK;195 MARKET ST;LYNN, MA 01901-0000"
011301947,"TD BANK NA;PO BOX 1377;LEWISTON, ME 04240-1377"
011301992,"BANKFIVE;79 N MAIN ST;FALL RIVER, MA 02740-2123"
011302030,"BANK OF AMERICA N.A.;PO BOX 27025;RICHMOND, VA 23261-7025"
011302111,"RBS CITIZENS, NATIONAL ASSOCIATION;1 CITIZENS DRIVE;RIVERSIDE, RI 02915-0000"
011302221,"TD BANK NA;PO BOX 1377;LEWISTON, ME 04240-1377"
011302292,"TD BANK NA;PO BOX 1377;LEWISTON, ME 04240-1377"
011302357,"BANK OF AMERICA N.A.;PO BOX 27025;RICHMOND, VA 23261-7025"
011302438,"BANK OF AMERICA N.A.;PO BOX 27025;RICHMOND, VA 23261-7025"
011302519,"EASTERN BANK;195 MARKET STREET;LYNN, MA 01901-0000"
011302522,"RBS CITIZENS, NATIONAL ASSOCIATION;1 CITIZENS DRIVE;RIVERSIDE, RI 02915-0000"
011302603,"NORTHMARK BANK;89 TURNPIKE ST;NORTH ANDOVER, MA 01845-0000"
011302616,"PEOPLE'S UNITED BANK;850 MAIN STREET;BRIDGEPORT, CT 06601-0000"
011302742,"ENTERPRISE BANK & TRUST CO.;PO BOX 908;LOWELL, MA 01853-0908"
011302768,"PEOPLE'S UNITED BANK;850 MAIN STREET;BRIDGEPORT, CT 06601-0000"
011302920,"MELLON TRUST OF NEW ENGLAND, N.A.;SUITE 960;PITTSBURGH, PA 15262-0001"
011302933,"TD BANK NA;PO BOX 1377;LEWISTON, ME 04240-1377"
011303071,"RBS CITIZENS, NATIONAL ASSOCIATION;1 CITIZENS DRIVE;RIVERSIDE, RI 02915-0000"
011303084,"CAMBRIDGE SAVINGS BANK;1374 MASS AVE;CAMBRIDGE, MA 02138-0000"
011303097,"NORTHERN BANK & TRUST CO;275 MISHAWUM ROAD;WOBURN, MA 01801-5005"
011303110,"EASTERN BANK;195 MARKET STREET;LYNN, MA 01901-0000"
011303123,"TD BANK NA;PO BOX 1377;LEWISTON, ME 04240-1377"
011303327,"MILFORD NATL BK&TR CO;300 E. MAIN STREET;MILFORD, MA 01757-0228"
011303864,"RBS CITIZENS, NATIONAL ASSOCIATION;1 CITIZENS DRIVE;RIVERSIDE, RI 02915-0000"
011304232,"ROCKLAND TRUST CO.;8 RICHARDS RD;PLYMOUTH, MA 02360-0000"
011304287,"RBS CITIZENS, NATIONAL ASSOCIATION;1 CITIZENS DRIVE;RIVERSIDE, RI 02915-0000"
011304300,"NATL GRAND BK MARBLEHEAD;PO BOX 4;MARBLEHEAD, MA 01945-0004"
011304478,"ROCKLAND TRUST COMPANY;8 RICHARDS RD.;PLYMOUTH, MA 02360-0000"
011304517,"RBS CITIZENS, NATIONAL ASSOCIATION;1 CITIZENS DRIVE;RIVERSIDE, RI 02915-0000"
011304711,"1ST NATL BANK IPSWICH;31 MARKET ST;IPSWICH, MA 01938-0000"
011305202,"MILLBURY NATIONAL BANK;80 ELM STREET;MILLBURY, MA 01527-0000"
011305260,"ROCKPORT NATIONAL BANK;16 MAIN STREET;ROCKPORT, MA 01966-1513"
011305338,"ROCKLAND TRUST;8 RICHARDS RD.;PLYMOUTH, MA 02360-0000"
011305684,"EDGARTOWN NATIONAL BANK;BOX 96;EDGARTOWN, MA 02539-0096"
011305749,"TD BANK NA;PO BOX 1377;LEWISTON, ME 04240-1377"
011306492,"EASTERN BANK;195 MARKET STREET;LYNN, MA 01901-0000"
011306829,"RBS CITIZENS, NATIONAL ASSOCIATION;1 CITIZENS DRIVE;RIVERSIDE, RI 02915-0000"
011306971,"ROCKLAND TRUST COMPANY;8 RICHARDS RD.;PLYMOUTH, MA 02360-0000"
011307077,"EASTERN BANK;195 MARKET STREET;LYNN, MA 01901-0000"
011307116,"UNITED BANK;95 ELM STREET;WEST SPRINGFIELD, MA 01089-0000"
011307129,"LEADER BANK , N.A.;180 MASSACHUSETTS AVE;ARLINGTON, MA 02474-0000"
011307158,"STATE STREET BANK & TRUST;ACH SERVICES;N QUINCY, MA 02171-0000"
011307161,"CENTURY BANK AND TRUST CO;400 MYSTIC AVENUE;MEDFORD, MA 02155-0000"
011307174,"BANK OF CAPE COD;232 MAIN ST;HYANNIS, MA 02601-0000"
011307187,"NORTHMARK BANK;PO BOX 825;NORTH ANDOVER, MA 01845-0000"
011307213,"FIRST COMMONS BANK, NA;718 BEACON ST;NEWTON, MA 02459-0000"
011375164,"BROOKLINE BANK;P. O. BOX 470469;BROOKLINE, MA 02447-0469"
011375245,"SOVEREIGN BANK;1125 BEKSHIRE BOULEVARD;WYOMISSING, PA 19610-0000"
011375274,"PATRIOT COMMUNITY BANK;237 LEXINGTON STREET;WOBURN, MA 01801-0000"
011392626,"MORTON FEDERAL CREDIT UNION;88 WASHINGTON STREET;TAUNTON, MA 02780-0000"
011392684,"LEOMINSTER CREDIT UNION;20 ADAMS STREET;LEOMINSTER, MA 01453-0000"
011400013,"RBS CITIZENS, NATIONAL ASSOCIATION;1 CITIZENS DRIVE;RIVERSIDE, RI 02915-0000"
011400039,"RBS CITIZENS, NATIONAL ASSOCIATION;1 CITIZENS DRIVE;RIVERSIDE, RI 02915-0000"
011400071,"TD BANK NA;PO BOX 1377;LEWISTON, ME 04240-1377"
011400149,"ST MARY'S BANK;200 BEDFORD ST;MANCHESTER, NH 03101-0000"
011400178,"BANK OF AMERICA;1400 BEST PLAZA DR;RICHMOND, VA 23227-0000"
011400495,"BANK OF AMERICA, N.A.;8001 VILLA PARK DRIVE;HENRICO, VA 23228-0000"
011401135,"SOVEREIGN BANK;MAIL STOP CP-201;LAWRENCE, MA 01841-0000"
011401148,"TD BANK NA;PO BOX 1377;LEWISTON, ME 04240-1377"
011401533,"RBS CITIZENS, NATIONAL ASSOCIATION;1 CITIZENS DRIVE;RIVERSIDE, RI 02915-0000"
011401685,"BANK OF AMERICA N.A.;PO BOX 27025;RICHMOND, VA 23261-7025"
011401850,"BANK OF NEW ENGLAND;31 PELHAM ROAD;SALEM, NH 03079-0000"
011401876,"OCEAN NATIONAL;PO BOX 820;BURLINGTON, VT 05402-0820"
011401928,"MERRIMACK COUNTY SVGS BANK;89 NORTH MAIN;CONCORD, NH 03301-9963"
011401931,"OCEAN NATIONAL;PO BOX 820;BURLINGTON, VT 05402-0820"
011401957,"TD BANK NA (PC);PO BOX 1377;LEWISTON, ME 04240-1377"
011401960,"OCEAN NAT BK KENNEBUNK;PO BOX 820;BURLINGTON, VT 05402-0820"
011402008,"KEY BANK NATIONAL ASSOCIATION;OH 01-51-0640;BROOKLYN, OH 44144-0000"
011402024,"CENTRIX BANK & TRUST;2ND FLOOR;BEDFORD, NH 03110-0000"
011402053,"HAMPSHIRE FIRST BANK;80 CANAL ST;MANCHESTER, NH 03101-0000"
011402066,"THE NASHUA BANK;188 MAIN STREET;NASHUA, NH 03060-0000"
011402079,"OPTIMA BANK AND TRUST;TWO HARBOUR PLACE;PORTSMOUTH, NH 03801-0000"
011402082,"CENTRIX BANK AND TRUST;2ND FLOOR;BEDFORD, NH 03110-0000"
011500010,"BANK OF AMERICA, N.A.;8001 VILLA PARK DRIVE;HENRICO, VA 23228-0000"
011500120,"RBS CITIZENS, NATIONAL ASSOCIATION;1 CITIZENS DRIVE;RIVERSIDE, RI 02915-0000"
011500337,"BANK OF AMERICA N.A.;PO BOX 27025;RICHMOND, CT 23261-7025"
011500722,"RBS CITIZENS, NATIONAL ASSOCIATION;1 CITIZENS DRIVE;RIVERSIDE, RI 02915-0000"
011500858,"WASHINGTON TRUST COMPANY;2 CROSSWIND ROAD;WESTERLY, RI 02891-1827"
011500913,"CENTREVILLE SAVINGS BANK;PO BOX 1009;WEST WARWICK, RI 02893-0909"
011501022,"RBS CITIZENS, NATIONAL ASSOCIATION;1 CITIZENS DRIVE;RIVERSIDE, RI 02915-0000"
011501035,"BANK OF AMERICA N.A.;PO BOX 27025;RICHMOND, VA 23261-7025"
011501077,"BANK OF AMERICA N.A.;PO BOX 27025;RICHMOND, VA 23261-7025"
011501556,"RBS CITIZENS, NATIONAL ASSOCIATION;1 CITIZENS DRIVE;RIVERSIDE, RI 02915-0000"
011501598,"NEWPORT FEDERAL SAV. BANK;1430 EAST MAIN RD.;PORTSMOUTH, RI 02871-0810"
011501682,"BANK RHODE ISLAND;625 GEORGE WASHINGTON HIGHWAY;LINCILN, RI 02865-0000"
011501695,"BANK RHODE ISLAND;625 GEORGE WASHINGTON HWY;LINCOLN, RI 02865-0000"
011501705,"FREEDOM NATIONAL BANK;584 PUTNAM PIKE;GREENVILLE, RI 02828-0000"
011501718,"INDEPENDENCE BANK;1370 SOUTH COUNTY TRAIL;EAST GREENWICH, RI 02818-0000"
011501747,"U.S. BANK NA;60 LIVINGSTON AVE;ST PAUL, MN 55107-0000"
011501750,"THE WASHINGTON TRUST COMPANY;2 CROSSWINDS ROAD;WESTERLY, RI 02891-0000"
011575236,"UNION FEDERAL SAVINGS BANK;1565 MINERAL SPRING AVENUE;N. PROVIDENCE, RI 02904-0000"
011592675,"WESTERLY COMMUNITY CREDIT UNION;122 GRANITE STREET;WESTERLY, RI 02891-0000"
011600020,"MERCHANTS BANK;P. O. BOX 1009;BURLINGTON, VT 05402-0000"
011600033,"TD BANK NA;PO BOX 1377;LEWISTON, ME 04240-1377"
011600062,"PEOPLE'S UNITED BANK;PO BOX 820;BURLINGTON, VT 05402-0000"
011600486,"CHITTENDEN TRUST COMPANY;2 BURLINGTON SQUARE;BURLINGTON, VT 05401-0000"
011600525,"TD BANK NA;PO BOX 1377;LEWISTON, ME 04240-1377"
011600567,"PEO TR CO ST ALBANS;PO BOX 320;ST. ALBANS, VT 05478-0551"
011600570,"TD BANK NA;PO BOX 1377;LEWISTON, ME 04240-1377"
011600622,"CHITTENDEN BANK;2 BURLINGTON SQUARE;BURLINGTON, VT 05401-0000"
011600774,"LAKE SUNAPEE BANK;9 MAIN STREET;NEWPORT, NH 03773-0029"
011600868,"COMMUNITY NATIONAL BANK;4811 US RTE 5;DERBY, VT 05829-0000"
011601029,"COMMUNITY NATIONAL BANK;P. O. BOX 259;DERBY, VT 05829-0000"
011601074,"BERKSHIRE BANK;24 NORTH ST;PITTSFIELD MA, VT 01201-0000"
011601087,"NATL BANK OF MIDDLEBURY;PO BOX 189;MIDDLEBURY, VT 05753-0000"
011601100,"THE UNION BANK;20 LOWER MAIN STREET;MORRISVILLE, VT 05661-0667"
011601142,"FIRST NAT BANK OF ORWELL;441 MAIN ST;ORWELL, VT 05760-0000"
011601171,"RANDOLPH NATIONAL BANK;MAIN ST BOX 368;RANDOLPH, VT 05060-0000"
011601236,"LAKE SUNAPEE BANK;9 MAIN ST;NEWPORT, NH 03773-0029"
011601265,"CHITTENDEN TRUST COMPANY;PO BOX 820;BURLINGTON, VT 05402-0000"
011675343,"NORTHFIELD SAVINGS BANK;33 SOUTH MAIN STREET;NORTHFIELD, VT 05663-0000"
011692588,"OPPORTUNITIES CREDIT UNION;18 PEARL STREET;BURLINGTON, VT 05401-2928"
011692601,"BENNINGTON E/E FED C. U.;401 GAGE STREET;BENNINGTON, VT 05201-0000"
011700425,"NORTHWAY BANK;9 MAIN STREET;BERLIN, NH 03570-0000"
011700564,"RBS CITIZENS, NATIONAL ASSOCIATION;1 CITIZENS DRIVE;RIVERSIDE, RI 02915-0000"
011701084,"CONNECTICUT RIVER BANK;P. O. BOX 500;CHARLESTOWN, NH 03603-0500"
011701107,"PASSUMPSIC SAVINGS BANK;1242 MEMORIAL DRIVE;ST JOHNSBURY, VT 05819-0000"
011701288,"NORTHWAY BANK;9 MAIN ST;BERLIN, NH 03570-0000"
011701314,"THE FIRST COLEBROOK BANK;132 MAIN ST;COLEBROOK, NH 03576-0000"
011701398,"J.P. MORGAN CHASE BANK, N.A.;10430 HIGHLAND MANOR DRIVE;TAMPA, FL 33610-0000"
011701424,"CONNECTICUT RIVER BANK;PO BOX 500;CHARLESTOWN, NH 03603-0500"
011701660,"LAKE SUNAPEE BANK;9 MAIN STREET;NEWPORT, NH 03773-0029"
011701903,"COMMUNITY GUARANTY;PO BOX 996;PLYMOUTH, NH 03264-0996"
011701987,"LEDYARD NATIONAL BANK;SUITE ONE;WEST LEBANON, NH 03784-0000"
011736020,"U.S. TREASURY (STORED VALUE CARD);PO BOX 55882;BOSTON, MA 02205-0000"
011736114,"U.S. TREASURY (STORED VALUE CARD);PO BOX 55882;BOSTON, MA 02205-0000"
011775104,"LAKE SUNAPEE BANK;9 MAIN STREET;NEWPORT, NH 03773-1503"
011775120,"PASSUMPSIC SAVINGS BANK;1242 MEMORIAL DRIVE;ST JOHNSBURY, VT 05819-0000"
011775285,"MASCOMA SAVINGS BANK;PO BOX 4399;WHITE RIVER, VT 05001-0000"
011775337,"LAKE SUNAPEE BANK;9 MAIN ST. PO BOX 29;NEWPORT, NH 03773-0000"
011801007,"BANK OF AMERICA N.A.;PO BOX 27025;RICHMOND, VA 23261-7025"
011801052,"BANK OF AMERICA N.A.;PO BOX 27025;RICHMOND, VA 23261-7025"
011802488,"BANK OF WESTERN MASS;850 MAIN STREET;BRIDGEPORT, CT 06601-0000"
011804185,"BANK OF AMERICA N.A.;PO BOX 27025;RICHMOND, VA 23261-7025"
011805388,"LENOX NATIONAL BANK;7 MAIN ST;LENOX, MA 01240-2311"
011807043,"FIRST NIAGARA BANK, NA;6950 SOUTH TRANSIT ROAD;LOCKPORT, NY 14095-0000"
011807140,"ADMIRALS BANK;200 CLARENDON STREET;BOSTON, MA 02116-0000"
011807205,"NUVO BANK & TRUST CO;PO BOX 15209;SPRINGFIELD, MA 01115-5209"
011900254,"BANK OF AMERICA N.A.;PO BOX 27025;RICHMOND, VA 23261-7025"
011900445,"BANK OF AMERICA N.A;PO BOX 27025;RICHMOND, VA 23261-7025"
011900571,"BANK OF AMERICA, N.A.;8001 VILLA PARK DRIVE;HENRICO, VA 23228-0000"
011900652,"BANK OF AMERICA N.A.;PO BOX 27025;RICHMOND, VA 23261-7025"
011901350,"BANK OF AMERICA N.A.;PO BOX 27025;RICHMOND, VA 23261-7025"
011901402,"BANK OF AMERICA N.A;PO BOX 27025;RICHMOND, VA 23261-7025"
011901651,"BANK OF AMERICA N.A.;PO BOX 27025;RICHMOND, VA 23261-7025"
011903688,"BANK OF AMERICA N.A.;PO BOX 27025;RICHMOND, VA 23261-7025"
011910697,"THE CONNECTICUT BANK & TRUST COMPANY;58 STATE HOUSE SQUARE;HARTFORD, CT 06103-0000"
011975221,"PRUDENTIAL BANK AND TRUST, F.S.B.;H-16T;HARTFORD, CT 06103-0000"
021000018,"THE BANK OF NEW YORK MELLON;500 ROSS ST. AIM 154-0960;PITTSBURGH, PA 15262-0001"
021000021,"JPMORGAN CHASE BANK;3RD FLOOR;TAMPA, FL 33610-0000"
021000089,"CITIBANK NA;ONE PENN'S WAY;NEW CASTLE, DE 19720-0000"
021000128,"JPMORGAN CHASE;3RD FLOOR;TAMPA, FL 33610-0000"
021000238,"JP MORGAN CHASE BANK;4915 INDEPENDENCE PARKWAY;TAMPA, FL 33634-0000"
021000306,"JPMORGAN CHASE;3RD FLOOR;TAMPA, FL 33610-0000"
021000322,"BANK OF AMERICA, N.A.;VA2-430-01-01;RICHMOND, VA 23261-7025"
021000678,"THE BANK OF NEW YORK MELLON;500 ROSS ST. AIM 154-0960;PITTSBURGH, PA 15262-0001"
021001033,"DEUTSCHE BANK TRUST CO AMERICAS;MAIL STOP JCY-03-0510;JERSEY CITY, NJ 07311-0000"
021001088,"HSBC BANK USA, N.A.;EAST PLAZA;BUFFALO, NY 14203-2801"
021001208,"FEDERAL RESERVE BANK;100 ORCHARD STREET;EAST RUTHERFORD, NJ 07073-0000"
021001318,"BANK OF AMERICA;PO BOX 27025;RICHMOND, VA 23261-7025"
021001486,"CITIBANK N.A.;ONE PENN'S WAY;NEW CASTLE, DE 19720-0000"
021004823,"HSBC BANK, USA;EAST PLAZA;BUFFALO, NY 14220-0000"
021031207,"JP MORGAN ELECTRONIC FIN. SERVICES;FL3-1404;TAMPA, FL 33610-0000"
021033205,"FREDDIE MAC;MSD5N;MCLEAN, VA 22102-0000"
021039500,"FANNIE MAE;MS 2H/3W-08;WASHINGTON, DC 20016-0000"
021039513,"FREDDIE MAC;MAILSTOP - D5N;MCLEAN, VA 22102-0000"
021050466,"DISBURSING DIVISION - NEW YORK;1ST FLOOR;EAST RUTHERFORD, NJ 07073-0000"
021051384,"GNMA WASH I P&I;1ST FLOOR;EAST RUTHERFORD, NJ 07073-0000"
021051452,"FRB GNMA P&I;1ST FLOOR;EAST RUTHERFORD, NJ 07073-0000"
021052053,"JOINT UPIC ACCOUNT;115 BUSINESS PARK DR.;WINSTON-SALEM, NC 27310-0000"
021100329,"BANK OF AMERICA, N.A.;VA2-430-01-01;RICHMOND, VA 23261-7025"
021100361,"JPMORGAN CHASE;3RD FLOOR;TAMPA, FL 33610-0000"
021101108,"WACHOVIA BANK N.A.;401 LINDEN STREET;WINSTON-SALEM, NC 27150-0000"
021101425,"TD BANK NA;PO BOX 1377;LEWISTON, MA 04240-1377"
021101438,"WEBSTER BANK;436 SLATER RD;NEW BRITIAN, CT 06053-0000"
021101470,"BANK OF NEW YORK MELLON;500 ROSS ST. AIM 154-0960;PITTSBURGH, PA 15262-0001"
021103274,"BANK OF AMERICA, N.A.;VA2-430-01-01;RICHMOND, VA 23261-7025"
021109935,"BANK OF AMERICA, N.A.;VA2-430-01-01;RICHMOND, VA 23261-7025"
021110209,"FIRST NIAGARA BANK, NA;6950 SOUTH TRANSIT ROAD;LOCKPORT, NY 14095-0000"
021110924,"BANK OF AMERICA, N.A.;VA2-430-01-01;RICHMOND, VA 23261-7025"
021110966,"WILTON BANK;PO BOX 606;WILTON, CT 06897-0000"
021111800,"WEBSTER BANK;436 SLATER RD;NEW BRITAIN, CT 06053-0000"
021112935,"PATRIOT NATIONAL BANK;900 BEDFORD STREET;STAMFORD, CT 06901-0000"
021113086,"BANK OF AMERICA;PO BOX 27025;RICHMOND, VA 23261-7025"
